0: GOAL CORRECTION ACTIVE
1: GOAL CORRECTION ACTIVE
2: GOAL CORRECTION ACTIVE
3: GOAL CORRECTION ACTIVE
4: GOAL CORRECTION ACTIVE
5: GOAL CORRECTION ACTIVE
6: GOAL CORRECTION ACTIVE
7: GOAL CORRECTION ACTIVE
8: GOAL CORRECTION ACTIVE
9: GOAL CORRECTION ACTIVE
10: GOAL CORRECTION ACTIVE
11: GOAL CORRECTION ACTIVE
12: GOAL CORRECTION ACTIVE
13: GOAL CORRECTION ACTIVE
14: GOAL CORRECTION ACTIVE
15: GOAL CORRECTION ACTIVE
16: GOAL CORRECTION ACTIVE
17: GOAL CORRECTION ACTIVE
18: GOAL CORRECTION ACTIVE
19: GOAL CORRECTION ACTIVE
20: GOAL CORRECTION ACTIVE
21: GOAL CORRECTION ACTIVE
22: GOAL CORRECTION ACTIVE
23: GOAL CORRECTION ACTIVE
24: GOAL CORRECTION ACTIVE
25: GOAL CORRECTION ACTIVE
26: GOAL CORRECTION ACTIVE
27: GOAL CORRECTION ACTIVE
28: GOAL CORRECTION ACTIVE
29: GOAL CORRECTION ACTIVE
30: GOAL CORRECTION ACTIVE
31: GOAL CORRECTION ACTIVE
32: GOAL CORRECTION ACTIVE
33: GOAL CORRECTION ACTIVE
34: GOAL CORRECTION ACTIVE
35: GOAL CORRECTION ACTIVE
36: GOAL CORRECTION ACTIVE
37: GOAL CORRECTION ACTIVE
38: GOAL CORRECTION ACTIVE
39: GOAL CORRECTION ACTIVE
40: GOAL CORRECTION ACTIVE
41: GOAL CORRECTION ACTIVE
42: GOAL CORRECTION ACTIVE
43: GOAL CORRECTION ACTIVE
44: GOAL CORRECTION ACTIVE
45-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 13, obs_right = 0
46-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 12, obs_right = 0
47-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 9, obs_right = 0
48-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 9, obs_right = 0
49-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 6, obs_right = 0
50-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 3, obs_right = 0
51-> l_obs : x: -45.0, z: -45.0 -> obstacle = True, obs_left = 1, obs_right = 0
52-> w_gen : x: -45.0, z: -45.0 -> obstacle = False, obs_left = 0, obs_right = 0
53-> w_gen : x: -44.856346, z: -44.81613 -> obstacle = False, obs_left = 0, obs_right = 0
54-> w_gen : x: -44.712692, z: -44.632263 -> obstacle = False, obs_left = 0, obs_right = 0
55-> w_gen : x: -44.56904, z: -44.448395 -> obstacle = False, obs_left = 0, obs_right = 0
56-> w_gen : x: -44.425385, z: -44.264526 -> obstacle = False, obs_left = 0, obs_right = 0
57-> w_gen : x: -44.28173, z: -44.080658 -> obstacle = False, obs_left = 0, obs_right = 0
58-> w_gen : x: -44.138077, z: -43.89679 -> obstacle = False, obs_left = 0, obs_right = 0
59-> w_gen : x: -43.994423, z: -43.71292 -> obstacle = False, obs_left = 0, obs_right = 0
60-> w_gen : x: -43.85077, z: -43.529053 -> obstacle = False, obs_left = 0, obs_right = 0
61-> w_gen : x: -43.707115, z: -43.345184 -> obstacle = False, obs_left = 0, obs_right = 0
62-> w_gen : x: -43.56346, z: -43.161316 -> obstacle = False, obs_left = 0, obs_right = 0
63-> w_gen : x: -43.419807, z: -42.977448 -> obstacle = False, obs_left = 0, obs_right = 0
